genre,url
"[Strategy, Real-Time, Historic, General, Historic]",knights-of-honor
"[Role-Playing, General, General]",knights-of-pen-paper-+1-edition
"[Role-Playing, General]",knights-of-pen-paper-2
"[Action Adventure, Fantasy, General, Fantasy]",knights-of-the-temple-ii
"[General, Miscellaneous, General]",knock-knock
"[Strategy, Real-Time, Fantasy, General, Fantasy]",kohan-ii-kings-of-war
"[Strategy, General, General]",kohan-ahrimans-gift
"[Strategy, General, General]",kohan-immortal-sovereigns
"[Action, Fighting, 2D]",koihime-enbu
"[Action Adventure, Adventure, General, 3D, First-Person]",kona
"[Role-Playing, Action RPG, Action RPG]",konung-2
"[Strategy, Real-Time, Military, Military]",korea-forgotten-conflict
"[Strategy, Wargame, Turn-Based]",korsun-pocket
"[Role-Playing, Western-Style]",krai-mira
"[Role-Playing, Action RPG, Action RPG]",krater
"[Action Adventure, Adventure, General, Horror, Horror]",kraven-manor
"[Action, Shooter, Shooter, First-Person, Sci-Fi, Arcade]",kreed
"[General, Action, Shooter, Rail]",kromaia
"[Simulation, Miscellaneous, Virtual Life, Virtual, Virtual Life]",kudos
"[Action, Shooter, First-Person, Tactical, Modern]",kumawar
"[Action, General, General]",kung-fu-strike-the-warriors-rise
"[Role-Playing, Action RPG]",kyn
"[General, Strategy, General]",julia
"[Strategy, General]",julia-among-the-stars
"[Adventure, General, General]",jack-keane
"[Adventure, General, General]",jack-keane-2-the-fire-within
"[Adventure, First-Person, General, Modern, Modern]",jack-the-ripper
"[Role-Playing, Action RPG, Action RPG]",jade-empire-special-edition
"[Strategy, Turn-Based, Modern, Tactics]",jagged-alliance-2-unfinished-business
"[Strategy, Turn-Based, Real-Time, General, Modern, Modern, Tactics]",jagged-alliance-back-in-action
"[Strategy, Turn-Based, General, Modern, Modern]",jagged-alliance-crossfire
"[Strategy, Turn-Based, Historic, Historic, Tactics]",jagged-alliance-flashback
"[Action, Driving, Shooter, Mission-based, Shooter, Third-Person, Modern, Modern, Arcade]",james-bond-007-blood-stone
"[Action, General, General]",james-camerons-avatar-the-game
"[Action, Shooter, Shooter, Scrolling, Scrolling, Shoot-'Em-Up, Vertical]",jamestown-legend-of-the-lost-colony
"[Simulation, Flight, WWII, Modern Jet, Combat]",janes-attack-squadron
"[Action, Simulation, Flight, Flight, Combat]",jasf-janes-advanced-strike-fighters
"[Action, General, General]",jaws-unleashed
"[Adventure, 3D, First-Person, Modern]",jazz-and-faust
"[General, Adventure, 3D, First-Person, Sci-Fi]",jazzpunk
"[Action, General, General]",jekyll-hyde-2001
"[Action, Racing, General, Arcade, Automobile]",jet-car-stunts
"[Simulation, Sci-Fi, Futuristic Jet, Futuristic Jet]",jetfighter-2015
"[Simulation, Flight, Modern Jet]",jetfighter-iv-fortress-america
"[Simulation, Flight, Modern Jet, Combat]",jetfighter-v-homeland-protector
"[Simulation, Virtual, Career]",job-simulator
"[Action, Racing, General, General, Arcade, Other]",joe-danger-2-the-movie
"[Action, Adventure, General]",joe-devers-lone-wolf-hd-remastered
"[Action, Shooter, First-Person, Arcade]",john-wick-chronicles
"[Action, Shooter, Shooter, First-Person, Modern, Tactical, Modern]",joint-operations-escalation
"[Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern]",joint-operations-typhoon-rising
"[Strategy, Real-Time, Modern, Modern, Tactics]",joint-task-force
"[Adventure, General, General, Point-and-Click]",jolly-rover
"[Action, General]",jotun
"[Adventure, General]",journal
"[Miscellaneous, Puzzle, General, Puzzle, General]",journey-of-a-roach
"[Adventure, 3D, Fantasy, Third-Person, Fantasy]",journey-to-the-center-of-the-earth
"[Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade]",judge-dredd-dredd-vs-death
