genre,url
"[Action Adventure, Sci-Fi, General, Survival]",alien-isolation
"[Action, Arcade]",aliens-go-home-run
"[Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade]",aliens-versus-predator-2
"[Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade]",aliens-versus-predator-2-primal-hunt-expansion-pack
"[Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade]",aliens-vs-predator
"[Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade]",aliens-colonial-marines
"[Action, General, General]",all-zombies-must-die!
"[Simulation, Sci-Fi, Space, Small Spaceship, Small Spaceship, Combat]",allegiance
"[Strategy, Real-Time, Sci-Fi, Sci-Fi]",alliance-future-combat
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi]",allods-online
"[Action Adventure, Horror, Horror, Survival]",alone-in-the-dark
"[Horror, Action Adventure, Survival]",alone-in-the-dark-illumination
"[Action Adventure, Horror, Horror, Survival]",alone-in-the-dark-the-new-nightmare
"[Miscellaneous, Action Adventure, Horror, Compilation]",alone-in-the-dark-the-trilogy-1+2+3
"[Adventure, General]",alone-with-you
"[Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi]",alpha-black-zero-intrepid-protocol
"[Adventure, General, General, Point-and-Click]",alpha-polaris-a-horror-adventure-game
"[Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade]",alpha-prime
"[Role-Playing, Console-style RPG, Console-style RPG, Western-Style]",alpha-protocol
"[Action Adventure, Horror, Horror, Survival]",alter-ego-2010
"[Adventure, General]",alternativa
"[Action, General, General]",altitude
"[Action Adventure, Open-World]",alwas-awakening
"[General, Adventure, General]",always-sometimes-monsters
"[Strategy, General, General]",amazons-aliens
"[Strategy, Real-Time, Historic, General, Historic]",america
"[Action, Shooter, Shooter, First-Person, Tactical, Modern]",americas-army
"[Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern]",americas-army-3
"[Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern]",americas-army-special-forces
"[Strategy, Real-Time, Historic, Historic, Command]",american-conquest
"[Strategy, Real-Time, Historic, Historic, Command]",american-conquest-divided-nation
"[Strategy, Real-Time, Historic, Historic, Command]",american-conquest-fight-back
"[Action, Miscellaneous, Trivia / Game Show, Rhythm, Music]",american-idol
"[Action Adventure, Modern, General, Modern]",american-mcgee-presents-bad-day-la
"[Action Adventure, Horror, Horror, Survival]",american-mcgees-alice
"[Simulation, Vehicle, Civilian]",american-truck-simulator
"[Action Adventure, Horror, Horror, Survival]",amnesia-a-machine-for-pigs
"[Miscellaneous, Adventure, General, Visual Novel]",amnesia-memories
"[Action Adventure, Horror, Horror, Survival]",amnesia-the-dark-descent
"[Modern, Adventure, 3D, First-Person, Modern]",among-the-sleep
"[Adventure, General, General]",anacapri-the-dream
"[Role-Playing, Third-Person, Third-Person, General, Japanese-Style]",anachronox
"[Adventure, General, General, Visual Novel]",analogue-a-hate-story
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi, Sci-Fi]",anarchy-online
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi, Sci-Fi]",anarchy-online-alien-invasion
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi, Sci-Fi]",anarchy-online-shadowlands
"[Role-Playing, Massively Multiplayer Online, Sci-Fi]",anarchy-online-the-notum-wars
"[Action, General]",anarcute
"[Strategy, Turn-Based, Sci-Fi]",ancient-space
"[Strategy, Real-Time, Historic, General, Historic]",ancient-wars-sparta
"[Action, Platformer, Platformer, 2D, 2D]",and-yet-it-moves
"[Adventure, Visual Novel]",angels-with-scaly-wings
"[Action, Platformer, Platformer, 2D, 2D]",angry-video-game-nerd-adventures
"[Role-Playing, Action RPG]",anima-gate-of-memories
"[Role-Playing, Action RPG]",animal-gods
"[Role-Playing, PC-style RPG, Western-Style]",anito-defend-a-land-enraged
"[Adventure, General, General]",ankh
"[Adventure, General, 3D, First-Person]",anna
"[Adventure, General, Point-and-Click]",annas-quest
"[Adventure, General, General, 3D, First-Person]",anna-extended-edition
"[Strategy, Real-Time, Sci-Fi, Sci-Fi, General]",anno-2070
"[Strategy, Management, Government]",anno-2205
"[Adventure, General, General]",anodyne
"[Action, Platformer, 3D]",anomaly-1729
"[Action, Strategy, General, Real-Time, Sci-Fi, Sci-Fi, General]",anomaly-2
"[Strategy, Real-Time, General, Sci-Fi, Defense]",anomaly-defenders
"[Strategy, Real-Time, General, Sci-Fi, General]",anomaly-warzone-earth
"[Miscellaneous, Puzzle, General, Puzzle, General]",antichamber
"[Strategy, Turn-Based, Tactics]",antihero
"[Simulation, Flight, Helicopter, Helicopter]",apache-longbow-assault
"[Simulation, Flight, Helicopter, Helicopter, Combat]",apache-air-assault
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Modern, Modern]",apb-all-points-bulletin
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Modern, Modern]",apb-reloaded
"[Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi]",apocalyptica
"[Adventure, 3D, First-Person]",aporia-beyond-the-valley
"[Platformer, 2D, Platformer, Action, Beat-'Em-Up, 2D]",apotheon
"[Strategy, Real-Time, Military, General, Command]",apox
"[Simulation, Sci-Fi, Marine, Futuristic Sub, Futuristic Sub, Combat]",aquanox
"[Simulation, Sci-Fi, Marine, Futuristic Sub, Futuristic Sub, Combat]",aquanox-2-revelation
"[Action Adventure, Fantasy, General, Fantasy]",aquaria
"[Adventure, General]",ar-k-episode-3-the-great-escape
"[Action Adventure, Fantasy, General, Fantasy]",arabian-nights
"[Action Adventure, General]",aragami
"[Role-Playing, PC-style RPG, General, Action RPG, PC-style RPG]",arcania-fall-of-setarrif
"[Role-Playing, PC-style RPG, General, Action RPG]",arcania-gothic-4
"[Role-Playing, PC-style RPG, PC-style RPG, Western-Style]",arcanum-of-steamworks-and-magick-obscura
"[Role-Playing, Action RPG, Action RPG]",archangel-2002
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy]",archeage
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy]",archlord
"[Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade]",area-51
"[General, Role-Playing, Japanese-Style]",arelite-core
"[Strategy, Real-Time, Modern, Modern]",arena-wars
"[Action, Shooter, Shoot-'Em-Up, Top-Down]",ares-omega
"[Action, Shooter, First-Person, Arcade]",arizona-sunshine
"[Simulation, General, General]",arma-3
"[Simulation, General]",arma-3-apex
"[Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade]",arma-ii
"[Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade]",arma-ii-operation-arrowhead
"[Simulation, Strategy, Turn-Based, General, General, Tactics]",arma-tactics
"[Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade]",arma-combat-operations
"[Action, Shooter, Shooter, First-Person, Tactical, Modern, Arcade, Modern]",arma-queens-gambit
"[Action Adventure, Fantasy, General, Fantasy]",armada-2526
"[Miscellaneous, Puzzle, General]",armadillo-run
"[Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi, Arcade]",armed-and-dangerous
"[General, Scrolling, Action, Shooter, Shoot-'Em-Up, Vertical, Horizontal]",armed-seven
"[Miscellaneous, General, Board / Card Game]",armello
"[Strategy, Real-Time, Fantasy, General, Fantasy]",armies-of-exigo
"[General, Adventure, Point-and-Click]",armikrog
"[Strategy, Real-Time, Fantasy, General, Fantasy]",army-men-rts
"[Action, Shooter, Shooter, Third-Person, Modern, Modern, Arcade]",army-men-sarges-war
"[Action, Beat-'Em-Up, 3D]",arslan-the-warriors-of-legend
"[Adventure, General, General]",art-of-murder-cards-of-destiny
"[Adventure, Third-Person, Modern, Modern]",art-of-murder-fbi-confidential
"[Adventure, 3D, Modern, Third-Person, Modern]",art-of-murder-hunt-for-the-puppeteer
"[Action Adventure, Fantasy, General, Fantasy]",arthur-and-the-invisibles-the-game
"[Role-Playing, First-Person, First-Person, Western-Style]",arx-fatalis
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy]",asherons-call
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy]",asherons-call-2-fallen-kings
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy]",asherons-call-2-legions
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy]",asherons-call-dark-majesty
"[Role-Playing, Massively Multiplayer Online, Fantasy, Fantasy]",asherons-call-throne-of-destiny
"[Sports, Alternative, Team, Cricket, Cricket]",ashes-cricket-2009
"[Strategy, Real-Time, General]",ashes-of-the-singularity
"[Strategy, Real-Time, General]",ashes-of-the-singularity-escalation
"[Action Adventure, General, Linear]",assassins-creed-chronicles-china
"[Action Adventure, Linear]",assassins-creed-chronicles-india
